minuto,jugador,tipo_gol,equipo,marcador,cod_acta
69,"FERREIRA PARENTE, RAUL",Normal,TRAZO C.F.,4-2,1187009
74,"FERREIRA PARENTE, RAUL",Normal,TRAZO C.F.,4-3,1187009
27,"ZAGATO PEREIRA, JOAO VITOR",Normal,S.D. VILLESTRO,0-1,1187010
65,"DOS SANTOS MARQUES, ALEANDRO",Penalti,S.D. VILLESTRO,0-2,1187010
88,"PROL BREA, DIEGO",Penalti,C.D.BELVIS,1-0,1187011
32,"CEREIJO IGLESIAS, ALBERTO L",Normal,SOCIEDADE DEPORTIVA O PINO,1-0,1187013
90'+2,"CEREIJO IGLESIAS, ALBERTO L",Normal,SOCIEDADE DEPORTIVA O PINO,2-0,1187013
61,"FREIRIA LOPEZ, JORGE",Normal,U.D. VAL DO ULLA,1-0,1187014
89,"CANICOBA BERNARDEZ, BRAIS",Normal,U.D. VAL DO ULLA,2-0,1187014
38,"SANCHEZ CARPINTEIRO, MIGUEL",Normal,U.D. VAL DO ULLA,0-1,1187015
54,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,0-1,1187016
68,"FORJAN GARCIA, ADRIAN",Normal,S.D. DUBRA B,1-1,1187016
75,"PAZOS MARTINEZ, ROBERTO",Normal,S.D. DUBRA B,2-1,1187016
59,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,0-1,1187017
64,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,0-2,1187017
22,"RIOS ALCAIDE, JUAN MANUEL",Normal,LAMELA C.F.,0-1,1187018
32,"CASTRO DOMINGUEZ, FRANCISCO",Normal,LAMELA C.F.,0-2,1187018
3,"DE LA FUENTE SUAREZ, RUBEN",Normal,A.C.U.D. CAMPORRAPADO,0-1,1187019
8,"CHAS BROCOS, IAGO SENEN",Normal,C.D. SAN MAMED,1-1,1187019
21,"BESTEIRO SAEZ, JAVIER",Normal,C.D. SAN MAMED,2-1,1187019
60,"MACEIRA MATO, ALFONSO",Normal,C.D. SAN MAMED,3-1,1187019
73,"CARRO MAREQUE, JUAN JOSE",Normal,A.C.U.D. CAMPORRAPADO,3-2,1187019
22,"MOSTEIRO GARCIA, SERGIO",Normal,C.F. CIRE DE MELIDE,1-0,1187020
58,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,2-0,1187020
88,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,3-0,1187020
76,"FUENTES CORREA, MANUEL",Normal,C.D. SPORT TEAM ESTRADA,0-1,1187021
84,"BARRUSO ARIAS, HUGO",Normal,C.D. SPORT TEAM ESTRADA,0-2,1187021
89,"CERVIÑO CARRACEDO, ANDRES",Penalti,C.D. SPORT TEAM ESTRADA,0-3,1187021
64,"FERREIRO RIAL, RUBEN",Normal,SOCIEDADE DEPORTIVA O PINO,0-1,1187022
71,"GARCIA DURAN, RUBEN",Normal,S.D.C. RECESENDE,1-1,1187022
90'+2,"SAINZ TRESGUERRAS, JESUS FERNANDO",Penalti,SOCIEDADE DEPORTIVA O PINO,1-2,1187022
90'+4,"FERREIRO RIAL, RUBEN",Normal,SOCIEDADE DEPORTIVA O PINO,1-3,1187022
47,"RIVAS SUAREZ, MARTIN",Normal,S.D. DUBRA B,0-1,1187023
65,"RIVAS SUAREZ, MARTIN",Normal,S.D. DUBRA B,0-2,1187023
85,"CORBAL CANGADO, BENITO",Normal,S.D. CRUCES,1-2,1187023
79,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,1-0,1187025
74,"GRANATA LOPEZ, DANIEL",Normal,C.D. SAN MAMED,0-1,1187026
37,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,0-1,1187027
60,"DE LA FUENTE SUAREZ, RUBEN",Normal,A.C.U.D. CAMPORRAPADO,1-1,1187027
4,"GUTIERREZ VAZQUEZ, EDUARDO",Normal,C.D.BELVIS,1-0,1187028
54,"MIGUEZ MEIJOMIL, MIGUEL",Normal,C.D.BELVIS,2-0,1187028
84,"AMIGO FERNANDEZ, JUAN JOSE",Normal,C.D.BELVIS,3-0,1187028
