jugador_entra,jugador_sale,minuto,equipo,cod_acta
"CANABAL CASTRO, ISMAEL","MARTINEZ MELLA, CRISTHIAN RAMON",46,SOCIEDADE DEPORTIVA O PINO,1186971
"PORTOS VILLAR, BORJA","GARCIA SENRA, DIEGO",57,SOCIEDADE DEPORTIVA O PINO,1186971
"FARIÑAS LOPEZ, ALEJANDRO","MAESTRE CALVO, DAVID RAFAEL",63,SOCIEDADE DEPORTIVA O PINO,1186971
"VILLAR VILLAR, IVAN","CENDON GONZALEZ, JOSE",73,SOCIEDADE DEPORTIVA O PINO,1186971
"FUENTES PARRA, DANIEL","GOMES TAVARES, RAFAEL ANDRE",73,SOCIEDADE DEPORTIVA O PINO,1186971
"NOYA BREA, ALVARO","BECERRA VARELA, ESTEBAN",26,TRAZO C.F.,1186972
"BERTOA VIQUEIRA, JOSE J","CEBEY DE LA TORRE, MANUEL",60,TRAZO C.F.,1186972
"CASTRO OTERO, SAMUEL","MARTINEZ DE SANTIAGO, DIEGO",73,TRAZO C.F.,1186972
"DE LA TORRE CUEVAS, FERNANDO","CALVO CUTRIN, RAUL",46,S.D.C. RECESENDE,1186972
"MOSQUERA GARRIDO, DIEGO","MEIJOME QUINTANA, RODRIGO",55,S.D.C. RECESENDE,1186972
"ALDREY MÍGUEZ, MANUEL","NUÑEZ BARRAL, DAVID",62,S.D.C. RECESENDE,1186972
